"id";"resp"
4;12,5
4;12,5
4;12,5
4;12,5
4;12,5
4;11,5
4;11,5
5;11,5
4;11,5
4;11,5
4;11,5
4;11,5
5;11,5
4;11,5
4;11,5
4;11,5
4;11,5
4;11,5
4;11,5
4;11,5
4;11,5
5;11,5
4;11,5
4;11,5
4;11,5
4;11,5
5;11,5
4;11,5
5;10,5
4;10,5
5;10,5
4;10,5
4;10,5
4;10,5
4;10,5
4;10,5
5;10,5
4;10,5
4;10,5
4;10,5
4;10,5
4;10,5
5;10,5
4;10,5
5;10,5
5;10,5
5;10,5
5;10,5
4;10,5
4;10,5
4;10,5
5;10,5
5;10,5
4;10,5
5;10,5
5;10,5
5;10,5
4;10,5
5;10,5
5;10,5
5;10,5
4;10,5
4;10,5
4;10,5
5;10,5
5;10,5
5;10,5
5;10,5
5;10,5
5;10,5
5;10,5
5;10,5
5;10,5
4;10,5
4;10,5
4;10,5
4;10,5
5;10,5
4;10,5
4;10,5
4;10,5
5;10,5
4;10,5
5;9,5
5;9,5
5;9,5
4;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
4;9,5
4;9,5
5;9,5
4;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
4;9,5
4;9,5
4;9,5
5;9,5
5;9,5
4;9,5
5;9,5
4;9,5
5;9,5
5;9,5
5;9,5
4;9,5
5;9,5
5;9,5
5;9,5
5;9,5
4;9,5
4;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;9,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
4;8,5
5;8,5
5;8,5
5;8,5
4;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;8,5
5;7,5
5;7,5
5;7,5
4;7,5
5;7,5
5;7,5
4;7,5
5;7,5
5;7,5
5;7,5
5;7,5
5;6,5
5;6,5
5;5,5
5;5,5
5;4,5
5;4,5
5;4,5
